"PANTONE P Process Cyan U","process-cyan","#00a0e1"
"PANTONE P 33-8 U","33-8","#ab7f67"
"PANTONE P 33-9 U","33-9","#a27962"
"PANTONE P 33-10 U","33-10","#99725e"
"PANTONE P 33-11 U","33-11","#906c59"
"PANTONE P 33-12 U","33-12","#896755"
"PANTONE P 33-13 U","33-13","#806150"
"PANTONE P 33-14 U","33-14","#75594b"
"PANTONE P 33-15 U","33-15","#6a5245"
"PANTONE P 33-16 U","33-16","#604b40"
"PANTONE P 34-1 U","34-1","#fcdcc6"
"PANTONE P 34-2 U","34-2","#fbceb0"
"PANTONE P 34-3 U","34-3","#f9be98"
"PANTONE P 34-4 U","34-4","#f6ac7d"
"PANTONE P 34-5 U","34-5","#f49b66"
"PANTONE P 34-6 U","34-6","#f28a53"
"PANTONE P 34-7 U","34-7","#ef783f"
"PANTONE P 34-8 U","34-8","#eb5f29"
"PANTONE P 34-9 U","34-9","#f3c7a9"
"PANTONE P 34-10 U","34-10","#eeb895"
"PANTONE P 34-11 U","34-11","#eaa97f"
"PANTONE P 34-12 U","34-12","#e79a6a"
