"PANTONE P Process Cyan C","process-cyan","#00a0e1"
"PANTONE P 28-12 C","28-12","#d8a67c"
"PANTONE P 28-13 C","28-13","#ce9260"
"PANTONE P 28-14 C","28-14","#c5824b"
"PANTONE P 28-15 C","28-15","#ba7036"
"PANTONE P 28-16 C","28-16","#b06028"
"PANTONE P 29-1 C","29-1","#ead5c3"
"PANTONE P 29-2 C","29-2","#e0c1a6"
"PANTONE P 29-3 C","29-3","#d5ae8c"
"PANTONE P 29-4 C","29-4","#c89a70"
"PANTONE P 29-5 C","29-5","#bd875a"
"PANTONE P 29-6 C","29-6","#b17644"
"PANTONE P 29-7 C","29-7","#a36332"
"PANTONE P 29-8 C","29-8","#995627"
"PANTONE P 29-9 C","29-9","#d2b196"
"PANTONE P 29-10 C","29-10","#c7a180"
"PANTONE P 29-11 C","29-11","#bc916b"
"PANTONE P 29-12 C","29-12","#b2835a"
"PANTONE P 29-13 C","29-13","#a8744a"
"PANTONE P 29-14 C","29-14","#9b663a"
"PANTONE P 29-15 C","29-15","#8e582f"
"PANTONE P 29-16 C","29-16","#824c26"
"PANTONE P 30-1 C","30-1","#fde4d0"
"PANTONE P 30-2 C","30-2","#fcd5b8"
"PANTONE P 30-3 C","30-3","#fac8a1"
"PANTONE P 30-4 C","30-4","#f8b684"
"PANTONE P 30-5 C","30-5","#f6a76b"
"PANTONE P 30-6 C","30-6","#f39351"
"PANTONE P 30-7 C","30-7","#f0813a"
"PANTONE P 30-8 C","30-8","#ed6c25"
"PANTONE P 30-9 C","30-9","#f2ccaf"
"PANTONE P 30-10 C","30-10","#efbf9b"
"PANTONE P 30-11 C","30-11","#ebb084"
"PANTONE P 30-12 C","30-12","#e8a26f"
"PANTONE P 30-13 C","30-13","#e29259"
"PANTONE P 30-14 C","30-14","#de8246"
"PANTONE P 30-15 C","30-15","#d87233"
"PANTONE P 30-16 C","30-16","#d36325"
"PANTONE P 31-1 C","31-1","#f8e9dd"
"PANTONE P 31-2 C","31-2","#f2d7c1"
"PANTONE P 31-3 C","31-3","#eac3a4"
"PANTONE P 31-4 C","31-4","#e2ab81"
"PANTONE P 31-5 C","31-5","#db9867"
"PANTONE P 31-6 C","31-6","#d1824b"
"PANTONE P 31-7 C","31-7","#ca6d35"
